id,structural,industry_career,resident_life,skeptic_external,ensemble,direction,disagreement,target_date
P01,0.45,0.60,0.30,0.30,0.375,modest deterioration,high,2031-07-20
P02,0.35,0.35,0.30,0.30,0.325,modest deterioration,low,2031-07-20
P03,0.45,0.45,0.40,0.40,0.425,structural shift with mixed welfare effects,low,2031-07-20
P04,0.45,0.40,0.40,0.40,0.40,structural shift with mixed welfare effects,low,2031-07-20
P05,0.55,0.45,0.45,0.40,0.45,broadly unchanged,low,2031-07-20
P06,0.40,0.40,0.35,0.35,0.375,structural shift with mixed welfare effects,low,2031-07-20
P07,0.45,0.60,0.30,0.45,0.45,broadly unchanged,high,2031-07-20
P08,0.40,0.40,0.40,0.40,0.40,structural shift with mixed welfare effects,low,2031-07-20
P09,0.40,0.30,0.30,0.35,0.325,modest deterioration,low,2031-07-20
P10,0.40,0.35,0.35,0.35,0.35,structural shift with mixed welfare effects,low,2031-07-20
P11,0.35,0.40,0.30,0.30,0.325,modest deterioration,low,2031-07-20
P12,0.40,0.40,0.40,0.40,0.40,structural shift with mixed welfare effects,low,2031-07-20
