id,structural,industry_career,resident_life,skeptic_external,ensemble,direction,disagreement,target_date
P01,0.68,0.64,0.68,0.64,0.660,modest improvement,low,2031-07-20
P02,0.64,0.68,0.62,0.66,0.650,modest deterioration,low,2031-07-20
P03,0.82,0.83,0.86,0.82,0.825,structural shift with mixed welfare effects,low,2031-07-20
P04,0.78,0.82,0.84,0.80,0.810,structural shift with mixed welfare effects,low,2031-07-20
P05,0.65,0.72,0.74,0.58,0.685,structural shift with mixed welfare effects,high,2031-07-20
P06,0.85,0.76,0.78,0.77,0.775,structural shift with mixed welfare effects,low,2031-07-20
P07,0.71,0.67,0.68,0.65,0.675,modest deterioration,low,2031-07-20
P08,0.80,0.79,0.80,0.78,0.795,structural shift with mixed welfare effects,low,2031-07-20
P09,0.83,0.78,0.82,0.63,0.800,structural shift with mixed welfare effects,high,2031-07-20
P10,0.76,0.76,0.70,0.68,0.730,modest deterioration,low,2031-07-20
P11,0.63,0.64,0.62,0.61,0.625,modest deterioration,low,2031-07-20
P12,0.74,0.80,0.79,0.74,0.765,structural shift with mixed welfare effects,low,2031-07-20
